name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Oracolo,Oracolo,Skinshape,2015-12-01,254724,0,0.451,0.721,0.7,0.548,0.14,-8.256,0.0379,89.993,0.663,4,7,0,spotify:track:0WOtHKz6IxQCYWNoMY6yiL
Hey Moon,We Must Become the Pitiless Censors of Ourselves,John Maus,2011-06-28,248706,48,0.784,0.573,0.639,0.633,0.0923,-7.143,0.0247,89.575,0.24,4,0,1,spotify:track:2NJGAT43AvS7BQvn2017yS
Who Can It Be Now?,Business As Usual,Men At Work,1981,205360,52,0.0468,0.802,0.808,0.000229,0.0771,-4.064,0.0366,128.51,0.962,4,4,1,spotify:track:5BCykgPXc7zEBg2oU0klvy
Lauren,Lauren,Men I Trust,2016-06-13,218210,62,0.777,0.762,0.503,0.17,0.115,-9.397,0.0308,96.999,0.558,4,9,0,spotify:track:7vptmeNwSEVkcwDdqk7UQO
Mystery of Love,Mystery of Love,Sufjan Stevens,2017-12-01,248960,70,0.94,0.365,0.273,0.431,0.109,-16.526,0.038,132.285,0.238,5,4,0,spotify:track:5GbVzc6Ex5LYlLJqzRQhuy
Vermissen (feat. Henning May),Vermissen (feat. Henning May),Juju,2019-05-03,161882,62,0.169,0.718,0.667,0.0,0.0674,-5.008,0.0551,89.029,0.48,4,9,0,spotify:track:1SSzM044DUbVpYNNHWIhYJ
If I,If I,blackwave.,2017-04-07,214200,14,0.359,0.681,0.474,0.00148,0.079,-7.343,0.33,76.775,0.439,4,0,1,spotify:track:6Jr1pWeTdKFAxCdcuYhYHb
Luftbahn,Arbeit nervt,Deichkind,2008-01-01,260773,53,0.0791,0.628,0.833,0.0,0.202,-4.679,0.0258,129.978,0.5,4,2,1,spotify:track:28VHPpOFGdY2PByaTe10ZX
Futile Devices (Doveman Remix),Call Me By Your Name (Original Motion Picture Soundtrack),Various Artists,2017-11-03,135443,62,0.954,0.462,0.187,0.847,0.0985,-19.991,0.0304,140.096,0.252,4,4,1,spotify:track:5vTSnZTmS1gMiWuA9kDE19
Prima di andare via,"I Molteplici Mondi Di Giovanni, Il Cantante Neffa",Neffa,2003-01-01,231093,50,0.0518,0.834,0.682,8.06e-06,0.107,-4.286,0.0313,111.002,0.944,4,4,0,spotify:track:00b7i3sXa6hlR2ZIDwyNLN
115 And 5 Seconds For You,115 And 5 Seconds For You,Benjamin Amaru,2018-12-14,120000,50,0.929,0.734,0.536,3.26e-06,0.113,-6.886,0.14,120.173,0.193,4,10,1,spotify:track:18hSFDMVSWVQo2qkOGLcQP
Slip Slide On By,The Order Of Time,Valerie June,2017-03-10,244146,32,0.353,0.497,0.263,0.00725,0.128,-8.117,0.039,112.49,0.551,3,2,1,spotify:track:3TEojRdSXcNyaDXZDqlr31
Keep on Calling,Small Crimes / Keep on Calling,Nilüfer Yanya,2016-11-18,230310,0,0.725,0.764,0.442,0.00066,0.0807,-10.548,0.0355,123.069,0.106,4,6,0,spotify:track:4FUrVPC15KK8OcABXprp3Z
Long Live the (D)Evil,Epitaph,Moriarty,2015-04-13,236910,57,0.34,0.694,0.507,9.22e-05,0.21,-7.957,0.0486,115.471,0.752,4,9,1,spotify:track:7LSQYhyOhooiBpDva8AJaC
Two Nights,Reminiscence EP,Joy Crookes,2019-01-25,186000,48,0.0906,0.637,0.663,0.0,0.0773,-6.003,0.058,159.919,0.594,4,0,0,spotify:track:5BeS2mGbdYVfS53Q6bVinG
Bittersweet Baby,ARE WE STILL DREAMING?,blackwave.,2019-11-08,199373,55,0.597,0.69,0.665,0.0,0.606,-6.963,0.0746,88.018,0.423,4,6,0,spotify:track:7KPZwV0b7aFQXhIPahLJdZ
Paris Latino - Original Version 1983,Best of Bandolero (Le meilleur des années 80),Bandolero,2011-01-01,243560,59,0.109,0.774,0.683,0.00404,0.0853,-7.432,0.137,114.976,0.683,4,11,0,spotify:track:3LCup59DMpM3r6fwQsZMYs
Beautiful Strangers,Beautiful Strangers b/w No Place to Fall,Kevin Morby,2016-10-27,375903,0,0.762,0.826,0.423,0.0689,0.105,-11.127,0.0445,100.042,0.891,4,4,1,spotify:track:0prVUHQu2xr6pI5iEbKtxo
The Only Thing,Carrie & Lowell,Sufjan Stevens,2015-03-31,284130,0,0.987,0.519,0.145,0.0643,0.108,-19.581,0.0392,158.975,0.487,4,3,1,spotify:track:6Rt6KwuF7I8ZkdZG2G0bYr
Heart & Soul,Roseaux II,Roseaux,2019-09-06,306727,52,0.871,0.711,0.172,0.0159,0.362,-11.028,0.0351,120.045,0.496,4,9,0,spotify:track:4CGtfGtkS2mCcedBqFq75i
Big Brown Eyes,Art,Benny Sings,2013-04-12,252133,0,0.0253,0.918,0.497,0.0626,0.134,-8.206,0.0441,130.85,0.773,4,7,0,spotify:track:5nfJIUToNqJeLVh5UZueud
Someone To Spend Time With,Someone To Spend Time With,Los Retros,2019-02-12,173953,0,0.0529,0.817,0.471,0.224,0.106,-13.301,0.0335,89.551,0.962,4,9,1,spotify:track:0qQ9VcVPkWDTnff6HIhISU
Don't Call My Name,Life & Love,Skinshape,2017-05-03,249846,52,0.156,0.677,0.565,0.74,0.108,-8.057,0.0361,90.023,0.54,4,4,0,spotify:track:2dXs6WlSVXJX3i99Xw4n2u
Viva Puerto Rico Libre,Power Fuerza,Ghetto Brothers,2014-12-31,351773,27,0.532,0.431,0.594,0.00161,0.0934,-9.425,0.0355,110.025,0.814,4,10,0,spotify:track:3KTSIwtRlrY1mEd0iRudyK
Texas Sun,Texas Sun,Khruangbin,2019-12-04,252811,0,0.0352,0.632,0.636,0.158,0.0997,-10.011,0.035,111.551,0.616,4,7,1,spotify:track:3k5oLgungD1dSOGLqQdIQw
Melody X,The Return of Stravinsky Wellington,Bonaparte,2017-06-02,244346,48,0.664,0.61,0.508,0.322,0.0857,-7.9,0.0386,120.007,0.071,4,10,1,spotify:track:5rZRM3Lf4eGsMpCDcOJ87C
Zeit steht,Trettmann,Trettmann,2019-09-13,203173,55,0.0346,0.892,0.448,0.000264,0.0889,-8.035,0.109,130.04,0.606,4,4,0,spotify:track:22ET3BvBsXcGiwxy1uXPbU
SR&Q,SUI SUI,Haiyti,2020-07-03,184053,22,0.099,0.699,0.445,0.00202,0.109,-7.538,0.0727,147.958,0.178,4,7,1,spotify:track:3qJySp0Zj1iggSp0Q81Xag
No Woman,Light Upon the Lake,Whitney,2016-06-03,237973,0,0.893,0.581,0.4,0.576,0.161,-8.739,0.0291,112.331,0.433,4,2,1,spotify:track:1CLmFKW99S8eJrebO3GB04
It Ain't Over 'Til It's Over,Mama Said,Lenny Kravitz,1991-04-02,242640,71,0.422,0.679,0.568,0.00928,0.322,-10.74,0.0423,159.69,0.93,4,6,1,spotify:track:6VnpKLtfNH4Dk09YSGPSyR
Ladyfingers,Whipped Cream & Other Delights,Herb Alpert & The Tijuana Brass,1965-04-01,164546,0,0.979,0.347,0.298,0.925,0.178,-14.461,0.04,86.254,0.542,4,3,1,spotify:track:4FZifwCZGSIzHOPGdIREee
Song 2,Blur: The Best Of,Blur,2000-10-23,121880,66,0.00188,0.658,0.709,0.00447,0.0657,-6.736,0.0904,129.701,0.855,4,8,1,spotify:track:3GfOAdcoc3X5GPiiXmpBjK
"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",KitschKrieg,KitschKrieg,2020-08-07,211844,57,0.122,0.754,0.704,0.00113,0.0829,-7.385,0.188,165.943,0.642,4,9,0,spotify:track:2v2fXImYrdprcgUxhV7Pz7
Funk in the Hole,Virgin Ubiquity II,Roy Ayers,2018-12-01,336546,38,0.0233,0.494,0.98,0.479,0.225,-4.795,0.0565,181.689,0.955,4,5,1,spotify:track:3olJm5hPTWRM89ZNuPbNMg
You're Too Precious,You're Too Precious,James Blake,2020-04-24,223900,51,0.886,0.684,0.477,0.366,0.103,-9.458,0.14,149.89,0.297,3,1,1,spotify:track:5teYCP3pROESCEaASCVf5w
"Ain't Got No, I Got Life",A Queen of Hearts,Rosemary Standley,2016-04-15,204800,32,0.963,0.621,0.381,0.508,0.103,-10.515,0.0345,101.886,0.424,4,9,1,spotify:track:4EF9vWtdKh5laR9myXiAf5
Tennessee,Hotel Allan,Allan Rayman,2016-10-28,190600,50,0.725,0.738,0.549,0.00334,0.108,-5.647,0.3,174.0,0.27,4,6,1,spotify:track:1PDOSyRGnlMRRt22mb3UHA
My Baby,With Julia,Kid Francescoli,2014-04-21,177217,46,0.785,0.649,0.476,0.000558,0.195,-9.669,0.0264,94.972,0.783,4,6,1,spotify:track:6gHM46l5NWosqukhMxVAlM
Sonora,KitschKrieg,KitschKrieg,2020-08-07,311131,33,0.209,0.719,0.309,0.000328,0.541,-10.323,0.14,139.987,0.217,4,8,1,spotify:track:0hlaZgZXFY1iCFPSEPg06n
Tom's Diner,Tom's Diner,AnnenMayKantereit,2019-06-28,269333,77,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,0.334,4,6,0,spotify:track:0oA9wBGDY4uyILLg4GymWP
Redbone,"""Awaken, My Love!""",Childish Gambino,2016-12-02,326933,74,0.169,0.743,0.344,0.00879,0.103,-11.174,0.118,160.15,0.577,4,1,1,spotify:track:0wXuerDYiBnERgIpbb3JBR
My People...Hold On,"Keep On Truckin’: The Motown Solo Albums, Vol. 1",Eddie Kendricks,2005-01-01,338906,17,0.644,0.465,0.565,0.0134,0.0905,-11.328,0.132,145.709,0.555,4,8,1,spotify:track:6vh1fooOFTV2zOz3iEwDcN
Stolpersteine,Trettmann,Trettmann,2019-09-13,265640,43,0.636,0.64,0.303,2.96e-05,0.119,-11.651,0.4,116.306,0.127,4,9,0,spotify:track:5U0xzeW4o26c0bzDxafwQ6
A Horse with No Name,America,America,1972,252239,75,0.686,0.654,0.506,0.0155,0.155,-17.18,0.0535,123.179,0.831,4,11,0,spotify:track:54eZmuggBFJbV7k248bTTt
Do You Know the Way to San Jose,The Valley of the Dolls,Dionne Warwick,1968,179440,49,0.592,0.658,0.657,9.5e-06,0.08,-7.792,0.0482,157.269,0.888,4,0,1,spotify:track:1YIWYzMq84I46LmgX1vpye
I Feel the Earth Move,Tapestry,Carole King,1971,178560,63,0.648,0.711,0.576,0.00226,0.0528,-8.784,0.0305,120.117,0.644,4,7,0,spotify:track:1BWsOxeMx83OrKGCV4gxly
(You Don't Know) How Glad I Am,How Glad I Am,Nancy Wilson,1964-01-01,157386,47,0.742,0.529,0.44,1.05e-05,0.328,-9.11,0.0302,103.669,0.611,3,5,1,spotify:track:4YkN3JlceD5n2aMqL1kFnH
Oh Junge,KitschKrieg,KitschKrieg,2020-08-07,193946,43,0.0292,0.878,0.515,0.0,0.0835,-7.715,0.188,156.0,0.269,4,1,1,spotify:track:0JqbpesudPE6j901fBEzo2
Ticket,BAM BAM,Seeed,2019-10-04,227933,58,0.06,0.455,0.734,0.00143,0.108,-4.911,0.07,157.505,0.384,5,11,0,spotify:track:4GBZ441sYKCc1vbZUi05vp
Astral Weeks - 1999 Remaster,Astral Weeks,Van Morrison,1968-11-01,426053,50,0.539,0.451,0.348,3.19e-06,0.143,-14.805,0.032,80.964,0.613,3,9,1,spotify:track:0vz4iTEfsp2lunsRJeMzjj
The Man Who Unraveled,To Be a Stranger,General Elektriks,2016-01-29,255213,33,0.0714,0.779,0.663,0.0012,0.101,-4.878,0.0285,100.104,0.65,4,4,0,spotify:track:4DKgu91CmzVF4B5TjP0jmT
Bei Dir,KIOX,KUMMER,2019-10-10,222642,61,0.124,0.678,0.675,0.0,0.0995,-6.618,0.127,152.049,0.223,4,1,0,spotify:track:3XpEKPj7KZt0yYWd7PQf5d
Curls,Ribbons,Bibio,2019-04-12,197933,49,0.879,0.497,0.348,0.796,0.722,-10.593,0.0285,82.176,0.227,4,9,1,spotify:track:2dXAmfTnWAzuBakuyMNoMu
Something's Changed,"100 Days, 100 Nights",Sharon Jones & The Dap-Kings,2007-10-02,176880,40,0.549,0.675,0.675,0.0,0.0804,-7.743,0.0294,101.356,0.883,4,9,0,spotify:track:0w7wiW4gt6cgas9WYIvDvG
Make Me Cry,Make Me Cry,Pip Millett,2018-05-11,162973,59,0.587,0.551,0.357,0.000167,0.123,-8.132,0.503,184.479,0.494,4,2,0,spotify:track:6zR3jAXgWCs9wmW1r4XGyk
Slip Away,This Is Clarence Carter,Clarence Carter,1968,153680,57,0.299,0.784,0.433,0.00016,0.0248,-9.1,0.0376,113.491,0.917,4,1,1,spotify:track:7r3Hwig1mvtlVq0ZbJ09Wb
17:30 Uhr,KitschKrieg,KitschKrieg,2020-08-07,199320,37,0.0664,0.831,0.482,1.32e-05,0.105,-8.455,0.368,100.003,0.294,4,4,0,spotify:track:7knqUzXDIMW3TXdCckLnAv
It Runs Through Me,Geography,Tom Misch,2018-04-06,261881,67,0.205,0.802,0.607,0.000748,0.246,-11.028,0.289,96.916,0.274,4,11,0,spotify:track:02CygBCQOIyEuhNZqHHcNx
School,Crime Of The Century (Remastered),Supertramp,1974-09-01,335286,61,0.537,0.366,0.468,0.0283,0.0664,-14.514,0.0826,90.281,0.0506,4,4,0,spotify:track:6fnachl7fIn5dqIjakfJ57
The Weight,Soul Folk In Action,The Staple Singers,1968-01-01,275640,56,0.424,0.629,0.387,0.0,0.0479,-13.667,0.0386,76.003,0.497,4,10,1,spotify:track:00bOhb4584JjyfTiXX81mO
TGV,KitschKrieg X Skinnyblackboy,KitschKrieg,2020-03-11,244613,27,0.153,0.948,0.419,0.000586,0.11,-9.31,0.333,120.008,0.583,4,0,0,spotify:track:56bfwS2XXLDmETNVVUUVqX
Englishman In New York,...Nothing Like The Sun,Sting,1987-01-01,267266,71,0.396,0.674,0.347,1.05e-05,0.0916,-17.707,0.0364,102.013,0.647,4,9,1,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp
Mice,Feeding Seahorses by Hand,Billie Marten,2019-04-26,244260,52,0.695,0.65,0.195,1.26e-05,0.0851,-12.569,0.0482,122.908,0.363,3,5,1,spotify:track:1wcAKUbAyMRy0uSsFbyiCv
Du trägst keine Liebe in dir,Freischwimmer,Echt,2002-01-01,261933,54,0.0245,0.549,0.809,0.0,0.13,-7.668,0.0307,112.02,0.81,4,10,1,spotify:track:21aT5lIYHjyBIFrXNbNY5U
Je veux,Zaz,Zaz,2010-05-10,215933,68,0.251,0.525,0.807,0.0,0.0504,-6.366,0.0725,155.397,0.741,4,2,0,spotify:track:734dz1YaFITwawPpM25fSt
Green Onions,Green Onions,Booker T. & the M.G.'s,1962,176333,69,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,136.837,0.912,4,10,1,spotify:track:4fQMGlCawbTkH9yPPZ49kP
Keine Angst,KitschKrieg,KitschKrieg,2020-08-07,229502,43,0.133,0.845,0.48,0.0,0.168,-9.356,0.504,118.843,0.364,4,11,1,spotify:track:69Y8KhoPEPM3ffwxxPZlbv
1975,1975,MAJAN,2019-05-10,223795,54,0.234,0.635,0.473,0.0,0.301,-10.137,0.0623,140.094,0.191,4,8,1,spotify:track:6mf2YhtRwQUdnORRrRQ3hP
Whasgood?!,Whasgood?!,blackwave.,2018-06-08,221800,33,0.0311,0.851,0.669,8.64e-05,0.179,-4.259,0.0721,109.974,0.835,4,1,1,spotify:track:5vhwne4NXUgFdtbnTMz37m
You Can't Hold Me Down,An Ordinary Day In An Unusual Place,Us3,2001-01-01,261466,44,0.0229,0.824,0.723,0.0111,0.0301,-4.814,0.0305,116.013,0.963,4,1,1,spotify:track:366E1dYGmFM75DxX0yxlSq
Satisfied 'N' Tickled Too,Satisfied 'N Tickled Too,Taj Mahal,1976-06-25,326826,43,0.747,0.841,0.591,0.0371,0.295,-9.081,0.0527,134.796,0.817,4,3,1,spotify:track:4v6gpq8gNsvKekCc2rgXb5
This Land Is Your Land,Naturally,Sharon Jones & The Dap-Kings,2005-01-25,271440,50,0.401,0.612,0.748,1.92e-06,0.0308,-3.654,0.0318,98.077,0.905,4,6,1,spotify:track:3JiUvMTBqbturJ5cKhxgWH
