name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
I Don't Feel so Alive,Full Closure and No Details,Gabriella Cohen,2017-03-03,261869,0,0.127,0.68,0.283,0.0,0.162,-6.616,0.0254,84.946,0.462,4,2,1,spotify:track:4PgNpRegKSrd9VftZV3Oo5,2017
Until We Get There,Wildewoman (Deluxe),Lucius,2014-10-14,208146,0,0.0626,0.526,0.737,0.139,0.124,-8.726,0.0472,123.035,0.137,4,7,1,spotify:track:3KBhaiaQ0qx0wq9Dz4GOIQ,2014
Lefty's Bar,Kill Frenzy EP,Fouk,2015-05-18,355540,33,0.00554,0.861,0.511,0.817,0.098,-11.975,0.0739,120.018,0.93,4,9,0,spotify:track:4cNAVxOssXmb8Xl4yZ8QNO,2015
"Nocturne en Fa Majeur, Op. 15 No. 1","Chopin: Nocturnes, Vol. 1",Frédéric Chopin,2010-05-18,274560,25,0.994,0.23,0.018,0.906,0.0531,-24.21,0.043,68.196,0.0616,4,5,1,spotify:track:08C1Bn5GsN8PF5SfxzuDK2,2010
Next Year - RAC Remix,Next Year,Two Door Cinema Club,2013-01-01,286093,0,0.28,0.731,0.736,0.0,0.0913,-6.498,0.0478,123.056,0.392,4,7,1,spotify:track:5SL5AexE9va7cP6s0B9E4m,2013
Irene,Cavalo,Rodrigo Amarante,2014-01-27,197866,0,0.973,0.547,0.119,0.595,0.0942,-15.196,0.0504,175.265,0.227,3,6,0,spotify:track:2UopY4DFMadsa0uCf2wAJs,2014
Collapse,Tomorrow's Harvest,Boards of Canada,2013-06-10,169825,31,0.898,0.395,0.565,0.795,0.558,-26.167,0.0785,119.317,0.219,1,7,0,spotify:track:6G0QWjgXe7XzpcwPchzAaV,2013
Ann Wants to Dance,Green Juice,Papooz,2016-06-03,210786,49,0.672,0.742,0.436,0.0292,0.183,-10.992,0.027,100.859,0.718,4,9,0,spotify:track:0DiQAYZAOQLL9mwinkRS3E,2016
Loquito por Ti,El Mejor Intérprete Tropical - 16 Exitos,Armando Hernandez,2015-07-01,287146,43,0.302,0.773,0.709,0.000491,0.0474,-7.295,0.172,106.623,0.852,4,10,0,spotify:track:1pCNUXYpoEzI4eA38NgHcz,2015
Nude,In Rainbows,Radiohead,2007-12-28,255386,0,0.833,0.537,0.342,0.6,0.0856,-9.785,0.0338,128.331,0.156,3,4,1,spotify:track:5k7VKj1Xwy5DjO4B0PdAOb,2007
Footnotes,Meditations On Afrocentrism EP,Romare,2012-05-03,802795,0,0.933,0.684,0.494,0.0,0.281,-12.261,0.838,110.694,0.576,4,9,1,spotify:track:3MSfKuzl6lnW9QZ7sadjrn,2012
Océan rouge,Mars balnéaire,Flavien Berger,2014-06-23,827586,0,0.522,0.572,0.257,0.905,0.0573,-11.483,0.0431,160.023,0.0392,4,0,1,spotify:track:1bAt20wZYpf58VAGGQxD2Z,2014
Ali D,Sponge Cake,Winston Surfshirt,2017-09-29,209380,28,0.207,0.8,0.469,0.00113,0.0906,-10.649,0.0687,109.975,0.392,4,11,0,spotify:track:0ERhTn6c7VLNy6m7KCsm5B,2017
Careful You,Seeds,TV On The Radio,2014-11-14,312241,0,0.00642,0.598,0.842,0.00138,0.0732,-5.715,0.035,160.028,0.404,4,8,1,spotify:track:6PAsPH78qphvXK5PJgf1EX,2014
