name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Instant Need,Time for a Change,FKJ,2013-07-08,270405,58,0.21,0.771,0.488,0.0431,0.0727,-7.978,0.047,91.031,0.568,4,10,0,spotify:track:6obKvh06VvBZP98oqU6YR7
Headson,Headson,Kazy Lambist,2012,188000,0,0.383,0.814,0.454,6.63e-05,0.116,-13.431,0.0417,115.011,0.571,4,0,1,spotify:track:1i8S8b09hPcQEpi3U5cuwy
The End,The End,Monolink,2015-04-13,493599,0,0.12,0.967,0.393,0.302,0.0646,-13.127,0.197,114.001,0.314,4,11,0,spotify:track:0lwUE9DGjdbbuwbPbxZyzw
Goodnight Moon,Volta,Boogie Belgique,2016-09-23,264735,49,0.0616,0.788,0.675,0.711,0.1,-8.591,0.0318,107.993,0.525,4,7,0,spotify:track:2rvo9Ddv18aRV0OJldhWTf
Better Give U Up,French Kiwi Juice,FKJ,2017-03-02,256800,61,0.176,0.525,0.72,0.00648,0.0769,-6.916,0.169,91.708,0.483,4,11,0,spotify:track:4c60yLpE5lXvICT0pyEaZ5
Money,Twister,LEISURE,2019-07-26,239000,0,0.0175,0.823,0.475,0.421,0.0605,-8.556,0.0543,90.032,0.779,4,5,1,spotify:track:1mqxC4tqJgSNdIy1sj5kFR
Take It Easy,Take It Easy,KYTES,2018-11-30,191021,43,0.251,0.579,0.739,0.00573,0.128,-5.845,0.104,97.934,0.391,4,0,1,spotify:track:15E5y9Vom2U03Fk9VnwSmI
Forever and Ever,Nightwalker Vol. 1,Boogie Belgique,2013-06-27,350091,44,0.552,0.868,0.478,0.31,0.103,-9.893,0.0474,108.995,0.555,4,8,0,spotify:track:4WLL2Hnnt0egTleTXG3jBi
Coming Alive,Another Tape,Two Another,2018-10-12,235568,0,0.548,0.634,0.594,1.74e-05,0.139,-4.154,0.0458,93.955,0.119,4,9,0,spotify:track:3yBgUv7hHzX1K7lpQ1XEr4
Reason,Soulection Black Label: Hablot Brown,Hablot Brown,2018-07-29,200000,45,0.164,0.799,0.309,0.00037,0.0854,-8.462,0.165,89.964,0.553,4,5,0,spotify:track:7hdM3l7whE3lTHP6WsoKZT
Next Time,Smaller Scale,Dovetail,2014-12-05,158035,16,0.46,0.471,0.281,0.732,0.101,-16.907,0.0419,143.947,0.0369,4,7,1,spotify:track:7Ljqwmcv69YTjHsi6tOeO2
Love Is Real,Sincere - Single,Moods,2015-02-09,202213,0,0.0529,0.761,0.643,0.102,0.0887,-8.078,0.142,93.991,0.61,4,9,1,spotify:track:4UvGBQU3zPO5IcagzHDIxS
And the Living Is Easy,Guts (Le Bienheureux),Guts,2007-06-01,313167,0,0.0643,0.874,0.575,0.21,0.557,-10.022,0.0432,114.984,0.571,4,5,1,spotify:track:3NlJO0Tf9FLjUTHepZgxYf
Ticket,BAM BAM,Seeed,2019-10-04,227933,58,0.06,0.455,0.734,0.00143,0.108,-4.911,0.07,157.505,0.384,5,11,0,spotify:track:4GBZ441sYKCc1vbZUi05vp
Idiosynthesis,Autology,Abstract,2019-02-01,174964,0,0.257,0.918,0.627,1.08e-05,0.0975,-8.909,0.0511,121.992,0.86,4,2,1,spotify:track:2xfqFJFJjcxRrpRyRCDkKp
Devi,Majouré,Parra for Cuva,2015-01-16,388920,39,0.388,0.701,0.631,0.6,0.0909,-8.779,0.0345,98.019,0.347,4,2,1,spotify:track:76fnU9WSR7lLqCjx8WL6uF
You're Living Like Pigs,Freedom,Guts,2009-10-19,270640,0,0.345,0.784,0.815,0.658,0.0413,-9.917,0.0528,178.08,0.822,4,2,0,spotify:track:5SM26xdMg4kuhcrL58E1lx
Bunker,Thin Walls,Balthazar,2015-03-30,291280,0,0.221,0.676,0.444,0.0199,0.165,-8.882,0.0366,106.987,0.219,4,10,0,spotify:track:0R4l8uepOzxFoF1xWQq2nh
Comfortable,Zoom Out,Moods,2018-10-26,217045,0,0.367,0.723,0.432,0.0375,0.128,-8.087,0.0373,82.013,0.2,4,4,0,spotify:track:4cISLIqYh55KF2SWZATqkq
Glory Box,The Wanderings Of The Avener,The Avener,2015-11-06,259160,50,0.608,0.682,0.827,0.055,0.108,-5.398,0.049,97.988,0.604,4,2,0,spotify:track:5wD4sfANjvUDEzOtFWDyTj
Welcome Chris,The Pursuit Of Happyness (Original Motion Picture Soundtrack),Andrea Guerra,2007,225293,0,0.946,0.248,0.0938,0.976,0.116,-17.658,0.0332,67.201,0.0541,4,4,1,spotify:track:6pBqiSzkhNea8KMJc8caEI
Day 4: Everybody Get Down,5 Day Mischon,Tom Misch,2017-03-31,285528,33,0.149,0.835,0.546,0.869,0.0721,-7.892,0.0595,119.974,0.224,4,7,0,spotify:track:3GOQHQWnDQdssRB8SRmGJT
Ivy,Blonde,Frank Ocean,2016-08-20,249191,80,0.785,0.575,0.386,0.000289,0.229,-9.584,0.037,116.408,0.466,4,9,0,spotify:track:2ZWlPOoWh0626oTaHrnl2a
Burning Sun,Amniotic,Monolink,2018-04-20,503000,47,0.119,0.706,0.443,0.393,0.0939,-13.444,0.0388,123.018,0.294,4,6,0,spotify:track:3ApJMBV3TjMQpn5T6Y6iX6
Soul Searching,Past Present Future...,Dafuniks,2014,227342,46,0.199,0.805,0.687,3.54e-06,0.147,-6.263,0.185,85.097,0.446,4,0,1,spotify:track:4KPs0jUlIszf2osVsfEGbM
Slim's Night Out,Je Ne Sais Quoi,PillowTalk,2014-03-17,166680,51,0.00435,0.761,0.478,0.651,0.383,-9.888,0.0408,98.007,0.569,4,5,1,spotify:track:6aQYHMzCZvKRNf2Apaf1AA
Still Young,Steal the Light,The Cat Empire,2013-05-17,258573,49,0.00727,0.613,0.762,0.0,0.188,-4.679,0.0359,149.225,0.743,4,11,1,spotify:track:4q7klA9ggWknZDhHhz9XYp
Every Time,Volta,Boogie Belgique,2016-09-23,241743,50,0.0754,0.675,0.603,0.319,0.165,-6.985,0.0413,79.003,0.169,4,7,1,spotify:track:3MDkws8QGzLrMrWVAbzoXO
Touch of Grey - 2013 Remaster,In the Dark,Grateful Dead,1987,350862,58,0.0785,0.612,0.696,9.4e-06,0.14,-11.34,0.0353,159.829,0.849,4,11,1,spotify:track:0mJQlCl9YgxW7kyeltNiVk
Sirens,Sirens,Monolink,2017-11-24,217190,57,0.239,0.751,0.67,0.0515,0.427,-7.883,0.0633,119.998,0.203,4,4,0,spotify:track:2Nsz5vf1G6jxQs9JdKkTaT
Little Lover,Sleeping Operator,The Barr Brothers,2014-10-06,290775,45,0.624,0.581,0.518,0.207,0.102,-9.672,0.0316,126.755,0.357,4,10,1,spotify:track:4wx3CZ1ykwZj7KY8S2dkC9
Panama,So Many Nights,The Cat Empire,2007,195546,41,0.019,0.419,0.575,4.83e-06,0.158,-6.101,0.0343,93.224,0.446,4,10,1,spotify:track:54vHITh8Cc4DZQYdnpbciz
Flashback,Based on a True Story,Fat Freddy's Drop,2005,391186,0,0.14,0.929,0.261,0.0264,0.0843,-12.024,0.0632,105.601,0.493,4,5,0,spotify:track:5JSNBytH7OXAelKIfvaS7R
Water Flow,Klyne,Klyne,2017-06-30,223583,62,0.592,0.781,0.426,0.571,0.109,-9.541,0.0322,104.981,0.237,4,1,1,spotify:track:1gcbDj7nfYolTr09LklGlr
Rockets (feat. Jonny Tarr),Join the Dots,The Nextmen,2009-08-10,272320,41,0.0681,0.781,0.577,0.0,0.102,-7.96,0.0819,95.978,0.716,4,2,0,spotify:track:5tXBCjHPCQ510FmLW7iwZ3
It’s Like That,Hip Hop After All,Guts,2014-09-08,214489,36,0.151,0.779,0.742,0.00174,0.126,-7.36,0.0412,91.035,0.358,4,7,1,spotify:track:2y1EJOmGEgpUISuXmW8KOU
Thinkin Bout You,channel ORANGE (Explicit Version),Frank Ocean,2012-07-10,200746,2,0.409,0.721,0.339,0.00153,0.0973,-11.195,0.0532,129.83,0.2,4,0,1,spotify:track:5mphdlILgAq3vh1MSvAJTS
Take Me Home,Amniotic,Monolink,2018-04-20,428226,30,0.255,0.87,0.516,0.443,0.158,-9.794,0.112,105.005,0.456,4,2,1,spotify:track:3MwOdhHwTu1OELO7EsGir2
Coastline,Wanderlust,Hollow Coves,2017-02-03,233973,6,0.627,0.67,0.496,0.00325,0.0584,-11.23,0.0277,100.17,0.427,4,2,1,spotify:track:2KCqAdd2ad0hpJc5ySoTE8
Immer Bei Dir (feat. Trettmann),BAM BAM,Seeed,2019-10-04,229913,46,0.052,0.651,0.76,6.79e-05,0.0993,-5.899,0.104,79.048,0.544,4,7,0,spotify:track:49V51kjPmaQqdtZFfjUqdt
Qué Será Ahora,Rising With the Sun,The Cat Empire,2016-03-04,221693,39,0.101,0.627,0.624,0.119,0.0982,-7.54,0.041,173.927,0.967,4,9,1,spotify:track:6yDEN6rKgSx8gWVu934t8K
Return to Oz,Amniotic,Monolink,2018-04-20,432266,33,0.0699,0.791,0.769,0.809,0.0603,-11.502,0.0504,119.98,0.22,4,8,1,spotify:track:13HDTxGLX75krczQM9xRKP
On You,On You - Single,Kazy Lambist,2016-04-08,197400,52,0.339,0.694,0.68,0.0136,0.691,-8.395,0.0323,116.984,0.357,4,1,1,spotify:track:6EZWwoSA0gaOM2Y9SVm6Gu
Lass Sie Gehn,BAM BAM,Seeed,2019-10-04,192853,50,0.0776,0.711,0.706,0.0,0.127,-4.543,0.289,138.81,0.695,4,7,1,spotify:track:4RYKr1R3tXrITqY1zWiTNi
Cajun Moon (feat. Cissy Housten),Surprises,Herbie Mann,1976,375946,39,0.81,0.761,0.436,0.00122,0.161,-13.702,0.0455,92.241,0.839,4,1,1,spotify:track:76AqgNyZJ8O7xNTK47v6RI
Atmen,Metropolis,Neonschwarz,2016-05-06,250213,0,0.426,0.733,0.628,0.0,0.369,-7.694,0.151,141.948,0.685,3,3,1,spotify:track:6m8t63k3pJKMQAVmN6w886
Fault Line,Fault Line EP,Meeka Kates,2017-04-07,220183,0,0.291,0.759,0.531,1.27e-06,0.213,-9.562,0.0558,109.028,0.544,4,7,1,spotify:track:1CE3PDFEdefxKxlpKDNFz1
All the Debts I Owe,Caamp,Caamp,2016-03-08,193048,57,0.753,0.483,0.486,0.00479,0.134,-11.062,0.0434,92.048,0.466,4,0,1,spotify:track:6255IIBwKySv6RYrOeHfQh
Inner City Blues (Make Me Wanna Holler),The Complete Collection,Marvin Gaye,2008-06-10,326506,10,0.805,0.649,0.493,0.107,0.214,-12.731,0.0326,94.097,0.604,4,8,0,spotify:track:62gS43VLijrUKof5veWRPh
Throes,Sun Leads Me On,Half Moon Run,2015-10-23,54333,0,0.993,0.339,0.0625,0.955,0.105,-23.96,0.0518,127.027,0.125,3,2,1,spotify:track:41Uz23jubhxB8YREUHvueV
Breezeblocks,An Awesome Wave,alt-J,2012-05-28,227080,0,0.118,0.569,0.645,0.00114,0.146,-7.368,0.0387,74.985,0.247,4,5,1,spotify:track:7gARZ2i5u5DHC1b1n1fML5
Love & Courvoisier (feat. Salsa 359),BAM BAM,Seeed,2019-10-04,204538,41,0.0822,0.844,0.574,0.000171,0.067,-6.699,0.116,101.029,0.676,4,9,1,spotify:track:0umCAvK3uz2OEz5RzRVQBh
Ghetto in Paradise,Paradise for All,Guts,2012-03-23,218066,50,0.324,0.692,0.621,0.916,0.129,-7.61,0.024,87.982,0.674,4,7,0,spotify:track:6MtX9yBR4b0AwdNKBawutU
The End - Dole & Kom Remix,The End,Monolink,2015-04-13,520195,0,0.00483,0.772,0.757,0.806,0.0893,-10.478,0.0412,119.993,0.129,4,1,0,spotify:track:4yNKpHEgPtGIEjoPns0Aed
Left Hand Free,This Is All Yours,alt-J,2014-09-22,173630,0,0.452,0.698,0.876,0.0133,0.0824,-4.45,0.0486,101.992,0.81,4,3,1,spotify:track:126TblwXGNTUZ7RPMnThkU
G€LD,BAM BAM,Seeed,2019-10-04,162683,52,0.0289,0.851,0.798,1.09e-05,0.118,-4.161,0.148,97.015,0.754,4,10,0,spotify:track:1Woy8A8P76F5F5e3NILRxi
Ulysses and the Sea,Papooz,Papooz,2015-01-19,120165,57,0.913,0.882,0.161,0.0,0.128,-9.385,0.0458,106.105,0.698,4,8,0,spotify:track:1YmPS3jF3RMCTajDYgTD2q
"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)","5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",KitschKrieg,2019-02-08,211129,0,0.112,0.841,0.718,0.00148,0.0873,-7.391,0.0882,110.702,0.654,5,9,0,spotify:track:1rciHe0jRJnF3J6CuAwOH0
The Ones Left Behind,The Ones Left Behind,Martin Rapide,2018-10-25,148987,43,0.994,0.41,0.0407,0.945,0.0856,-23.964,0.0528,97.227,0.134,3,11,0,spotify:track:1pfOyfuKafxJXajfsnU731
No More Drama (Alles Pech Verbraucht),BAM BAM,Seeed,2019-10-04,194514,36,0.176,0.766,0.703,0.00314,0.193,-6.301,0.114,133.071,0.626,4,7,1,spotify:track:0GWYtMXnSaLYG9R72FvJ2p
Peaceful Life,Eternal,Guts,2016-04-01,246266,61,0.0264,0.849,0.678,0.0408,0.284,-7.781,0.0344,108.681,0.963,4,7,0,spotify:track:1oqcT3rKnuyGf7gcQU8IXx
Books From Boxes,Our Earthly Pleasures,Maximo Park,2007-04-01,208653,57,0.0906,0.611,0.568,0.0,0.117,-6.142,0.032,95.546,0.567,4,5,1,spotify:track:7aB9V1AfdHhdONxii7njJ9
Here If You Want (Pale Blue),Here If You Want (Pale Blue),MOSSS,2017-06-16,199035,52,0.269,0.761,0.6,0.864,0.108,-7.348,0.0765,96.015,0.557,4,7,1,spotify:track:7a0mPDySTtLmgE3NoIBNJp
Lass Das Licht An (feat. Deichkind),BAM BAM,Seeed,2019-10-04,188561,48,0.0753,0.904,0.664,0.0,0.151,-4.637,0.288,143.746,0.72,4,2,1,spotify:track:0BJ5N5yfEPBAimh9LprQvc
Vagabond,Caamp,Caamp,2016-03-08,129463,59,0.766,0.571,0.399,0.0146,0.0926,-11.919,0.0364,141.922,0.611,4,4,1,spotify:track:3HAgxyWGeJtIVabS2mTREt
Real Love Baby,Real Love Baby,Father John Misty,2016-07-26,189293,0,0.0956,0.427,0.684,0.0196,0.12,-6.487,0.0353,204.429,0.606,4,7,1,spotify:track:2qEqMx1n0dnCBzWT9l3nGL
Down in the Past,Hurricane Bar,Mando Diao,2004-09-22,238493,51,0.000456,0.536,0.705,5.48e-06,0.0858,-4.241,0.0452,106.301,0.454,4,11,0,spotify:track:2vx5Dc3Zxtd5yGDlh2pAAz
Sie Is Geladen (feat. Nura),BAM BAM,Seeed,2019-10-04,218702,41,0.0168,0.685,0.885,2.25e-05,0.179,-4.248,0.211,144.05,0.629,4,9,0,spotify:track:4Qt7LInzG4ruqcIrowldhg
Sly,Two Shoes,The Cat Empire,2005-08-29,227226,38,0.00746,0.558,0.673,1.39e-05,0.169,-6.858,0.0523,169.07,0.826,4,9,1,spotify:track:0Eos5D7dZMxV5zcuFfzlqp
Début,En t'attendant,Mélanie Laurent,2011-05-02,160066,52,0.99,0.377,0.0239,0.882,0.0998,-30.245,0.0403,119.263,0.0629,4,0,1,spotify:track:6YS1MXqso0zlmcL4OV1kXk
Spooky,Dusty... Definitely,Dusty Springfield,1968-11-22,164173,66,0.5,0.752,0.445,0.0,0.0912,-12.725,0.0338,106.283,0.964,4,4,0,spotify:track:3MtP9T0WF4xbIo8vqHYeXM
What A Day,BAM BAM,Seeed,2019-10-04,153759,33,0.469,0.435,0.39,0.0,0.173,-8.826,0.0271,132.331,0.2,4,9,0,spotify:track:3Zexl3b8tdk5csqUHgTPnZ
Great Heights,Caamp,Caamp,2016-03-08,138048,43,0.407,0.712,0.424,0.00564,0.0683,-11.75,0.0363,82.666,0.535,4,7,1,spotify:track:1oIV4x2xvtAzJBuO7L5iKO
Gayby,Homotopia,Sam Vance-Law,2018-03-02,174546,33,0.487,0.439,0.429,0.0163,0.0941,-10.023,0.0369,193.751,0.719,4,2,1,spotify:track:4beOP1YEY0RMmixXStaISR
Kafi Lied,Hello Asshole / Kafi Lied,Kalabrese,2014-04-18,464453,50,0.163,0.871,0.459,0.279,0.052,-13.183,0.069,114.004,0.325,4,9,0,spotify:track:1IrWZesp3Yjc6buTJ5R0u3
Komm In Mein Haus,BAM BAM,Seeed,2019-10-04,213698,43,0.101,0.889,0.735,0.0,0.0672,-5.854,0.149,128.791,0.915,4,1,1,spotify:track:6oaKnLMx2pALOk9702y8Jj
Sweet Goodbye,Ferdinand,Ferdinand fka Left Boy,2018-04-06,210886,34,0.00465,0.793,0.496,1.22e-05,0.17,-6.513,0.0436,127.016,0.589,4,0,1,spotify:track:1FP4qUj46JrO68d5scPR59
Luckiest Man,Ways Not To Lose,The Wood Brothers,2006-01-01,233666,59,0.74,0.571,0.281,0.0,0.163,-10.56,0.0475,142.263,0.294,4,5,1,spotify:track:26uHwSHlaK5mskSMhbRod3
I Will Follow You into the Dark,Plans,Death Cab for Cutie,2005-08-29,189400,63,0.923,0.581,0.163,0.0,0.118,-14.686,0.0447,77.748,0.475,4,5,1,spotify:track:2ndWbjiiNBEOrlfToKlABE
Psycho Piano Interlude,BAM BAM,Seeed,2019-10-04,47064,33,0.0617,0.79,0.393,0.887,0.178,-10.577,0.108,133.067,0.401,4,6,0,spotify:track:0Gf9hvZuNAHvyKOJG9nyll
See the World,Caamp,Caamp,2016-03-08,138451,49,0.411,0.423,0.532,0.145,0.083,-10.343,0.0296,133.919,0.402,4,1,1,spotify:track:3AkQyzLlpRfSYla0iawIPn
The Swimmer,The Swimmer,Phil France,2017-03-03,252000,0,0.777,0.503,0.0738,0.95,0.112,-18.029,0.0394,119.939,0.137,4,11,1,spotify:track:6NtpDQounqLQOrZsXo9oHt
Ready Now,Ready Now,The Cat Empire,2018-07-01,193238,26,0.0321,0.419,0.82,0.107,0.404,-4.96,0.0613,84.925,0.652,4,7,0,spotify:track:6e8Wi2tX3RUZZlJaOZZ8ro
Doing Yoga,On You (Radio Edit) - Single,Kazy Lambist,2016-08-01,291573,53,0.214,0.732,0.76,0.00112,0.389,-6.82,0.0922,108.993,0.318,4,4,0,spotify:track:2N2QYANz84q0gQrWp4QTg8
Tadow,Lady Lady,Masego,2018-09-07,301893,74,0.669,0.704,0.487,8.64e-05,0.111,-6.407,0.0604,121.726,0.313,4,9,0,spotify:track:51rPRW8NjxZoWPPjnRGzHw
The Look,The English Riviera,Metronomy,2011-04-11,277653,70,0.623,0.638,0.535,0.0391,0.0837,-7.792,0.0415,84.947,0.504,4,9,0,spotify:track:6zfczP87XO2SxWlQtnjFNa
Van Dyke Brown,Van Dyke Brown,River Whyless,2018-02-20,247600,0,0.0559,0.646,0.823,0.0083,0.296,-6.898,0.0495,120.031,0.611,4,9,1,spotify:track:4TyQT9eQyZpwbGus6Ptrbh
Talking To The Sun,Core,CRISTALLIN,2015,205386,39,0.267,0.48,0.725,0.0,0.0716,-7.428,0.0318,100.092,0.248,4,7,1,spotify:track:0auXk1tZG1PAfszbPPb0rh
Trials of the Past,SBTRKT,SBTRKT,2011-06-27,264120,0,0.291,0.736,0.551,0.00773,0.111,-6.839,0.17,78.029,0.165,4,4,0,spotify:track:0SGccA9exVTuzQY7jwbASF
Everything I Am Is Yours,Darling Arithmetic,Villagers,2015-04-13,210013,61,0.67,0.873,0.505,0.269,0.136,-11.147,0.0308,110.007,0.69,4,4,0,spotify:track:281ioxkZbJ3p9hCvjD2bon
